epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.45274,1.14445,3.53636,1.30766,0.01224,0.95833,0.12014,0.08685,1.04492,3.0846,1.06128,0,0,0
2,6.31558,1.26878,3.34336,1.36807,0.01223,0.95833,0.12062,0.08765,1.05102,3.08299,1.0608,1.24794e-05,1.24794e-05,1.24794e-05
3,6.66967,1.39311,3.3664,1.49462,0.01169,0.91667,0.1166,0.08616,1.05007,3.08265,1.05973,2.49175e-05,2.49175e-05,2.49175e-05
4,7.05429,1.30185,3.55056,1.4169,0.01223,0.95833,0.14373,0.10515,1.01261,3.07634,1.04012,3.73144e-05,3.73144e-05,3.73144e-05
5,7.50662,1.22565,3.3812,1.35625,0.01223,0.95833,0.16935,0.13165,0.96547,3.05391,0.9966,4.967e-05,4.967e-05,4.967e-05
6,7.98382,0.9831,3.31026,1.16333,0.01222,0.95833,0.2278,0.18311,0.92999,3.01459,0.97577,6.19844e-05,6.19844e-05,6.19844e-05
7,8.44978,1.13819,3.2289,1.2834,0.01222,0.95833,0.26103,0.20527,0.89531,3.0011,0.95301,7.42575e-05,7.42575e-05,7.42575e-05
8,8.90949,1.15223,3.23316,1.25758,0.01277,1,0.33406,0.2637,0.86289,2.98513,0.93851,8.64894e-05,8.64894e-05,8.64894e-05
9,9.38675,0.95568,3.22797,1.07901,0.01278,1,0.3958,0.31355,0.86353,2.98117,0.94167,9.868e-05,9.868e-05,9.868e-05
10,9.99878,1.14503,2.98249,1.22577,0.01277,1,0.46325,0.36699,0.86698,2.98344,0.95672,0.000110829,0.000110829,0.000110829
11,10.4621,1.00754,2.87206,1.13063,0.0128,1,0.49914,0.38766,0.87424,2.97427,0.97763,0.000122937,0.000122937,0.000122937
12,10.9293,1.04552,2.9326,1.15917,0.01279,1,0.46041,0.36034,0.86262,2.95403,0.98373,0.000135004,0.000135004,0.000135004
13,11.3675,1.03996,2.73206,1.17305,0.01277,1,0.4612,0.36278,0.86598,2.93489,0.98592,0.00014703,0.00014703,0.00014703
14,11.8092,1.07747,2.58228,1.30727,0.01224,0.95833,0.46631,0.35463,0.90784,2.89544,0.99038,0.000159014,0.000159014,0.000159014
15,12.4601,0.91382,2.35589,1.13824,0.01222,0.95833,0.45274,0.33639,0.91191,2.85764,0.98675,0.000170957,0.000170957,0.000170957
16,12.9675,1.15426,2.59806,1.10103,0.01223,0.95833,0.43174,0.32319,0.88577,2.8032,0.96738,0.000182859,0.000182859,0.000182859
17,13.5,1.08178,2.44,1.12945,0.01228,0.95833,0.44632,0.34523,0.82639,2.74205,0.93471,0.00019472,0.00019472,0.00019472
18,13.9666,0.92363,2.22467,1.07769,0.01232,0.95833,0.46526,0.36659,0.76798,2.70989,0.92054,0.000206539,0.000206539,0.000206539
19,14.4321,0.89649,2.30597,1.0289,0.01291,1,0.48661,0.38303,0.73824,2.691,0.91258,0.000218317,0.000218317,0.000218317
20,14.9089,0.87364,2.01047,1.05654,0.01291,1,0.52671,0.42454,0.71858,2.68771,0.90778,0.000230054,0.000230054,0.000230054
21,15.3967,0.97443,1.93325,1.17266,0.01295,1,0.59228,0.4717,0.70347,2.68778,0.90514,0.00024175,0.00024175,0.00024175
22,15.8749,0.99006,1.98325,1.28753,0.01299,1,0.63902,0.53262,0.70902,2.67714,0.896,0.000253404,0.000253404,0.000253404
23,16.4825,0.75369,1.64847,0.92468,0.01305,1,0.71381,0.59465,0.73611,2.66687,0.89556,0.000265017,0.000265017,0.000265017
24,16.9443,0.81943,1.75229,1.22063,0.01319,1,0.6977,0.56101,0.79758,2.67057,0.91712,0.000276589,0.000276589,0.000276589
25,17.408,0.94325,1.59239,1.0511,0.01334,1,0.69591,0.56365,0.83891,2.6777,0.95106,0.00028812,0.00028812,0.00028812
26,17.8495,0.93424,1.54556,1.11816,0.52807,0.65885,0.7099,0.56824,0.80476,2.63583,0.94537,0.000299609,0.000299609,0.000299609
27,18.2929,0.86141,1.47062,1.05502,1,0.07142,0.74107,0.58225,0.78686,2.5691,0.92353,0.000311057,0.000311057,0.000311057
28,18.7489,0.79584,1.3541,0.97636,1,0.21797,0.76325,0.54096,0.90741,2.50575,0.93313,0.000322464,0.000322464,0.000322464
29,19.2189,0.88649,1.37197,1.04972,0.95222,0.28588,0.77274,0.55164,0.93485,2.43419,0.93408,0.00033383,0.00033383,0.00033383
30,19.6654,0.75404,1.20534,0.95936,0.92754,0.36406,0.76641,0.56607,0.91152,2.35153,0.92828,0.000345154,0.000345154,0.000345154
31,20.1735,0.74458,1.09705,1.02675,0.93548,0.40864,0.80118,0.63095,0.787,2.26273,0.89387,0.000356437,0.000356437,0.000356437
32,20.6347,0.69839,1.03447,1.00729,0.94835,0.53747,0.81989,0.68355,0.65883,2.17988,0.86986,0.000367679,0.000367679,0.000367679
33,21.1009,0.86723,1.17469,1.04659,0.9444,0.57077,0.83531,0.70563,0.62616,2.11866,0.86693,0.00037888,0.00037888,0.00037888
34,21.5569,1.02307,1.11556,1.02293,0.93929,0.58899,0.83531,0.7017,0.66592,2.08226,0.87123,0.000390039,0.000390039,0.000390039
35,22.0052,0.87909,1.1401,0.98819,0.94047,0.5728,0.81475,0.6546,0.74621,2.10673,0.88444,0.000401158,0.000401158,0.000401158
36,22.4492,0.76245,0.99764,1.01502,0.91391,0.57883,0.80929,0.62818,0.83349,2.12423,0.89614,0.000412234,0.000412234,0.000412234
37,22.8928,0.74883,1.04283,0.99071,0.9119,0.58605,0.84545,0.67064,0.84132,2.16976,0.90811,0.00042327,0.00042327,0.00042327
38,23.4762,0.79529,0.99039,1.03926,0.9755,0.5963,0.87083,0.69719,0.78507,2.19565,0.88882,0.000434264,0.000434264,0.000434264
39,23.9242,0.89896,1.0384,1.06045,1,0.57119,0.896,0.75221,0.74437,2.23966,0.87982,0.000445218,0.000445218,0.000445218
40,24.3928,0.86379,1.10205,1.10842,1,0.53247,0.9165,0.78518,0.68633,2.27611,0.86872,0.000456129,0.000456129,0.000456129
41,24.8635,0.94212,1.01039,1.06092,1,0.59584,0.93712,0.82473,0.68003,2.31196,0.86804,0.000467,0.000467,0.000467
