epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7483,1.69048,2.59943,1.61711,0.09085,0.77186,0.33962,0.13036,1.76088,3.12835,1.86391,0.00062,0.00062,0.00062
2,29.0478,1.70834,2.169,1.62801,0.66392,0.12833,0.26294,0.09477,2.11416,2.80056,2.14103,0.00125792,0.00125792,0.00125792
3,42.1479,1.71504,1.9324,1.58946,0.174,0.18251,0.10293,0.03342,2.55207,3.0421,2.49272,0.00189373,0.00189373,0.00189373
4,55.1732,1.78024,1.95514,1.65932,0.14344,0.17871,0.06366,0.01816,2.90079,3.16062,3.41909,0.0019901,0.0019901,0.0019901
5,68.0327,1.77974,1.84956,1.65957,0.17699,0.15589,0.06444,0.01838,3.19895,2.91595,2.92721,0.0019868,0.0019868,0.0019868
6,80.8645,1.76193,1.75121,1.63054,0.33405,0.25987,0.23053,0.08043,2.49616,2.57016,2.17194,0.0019835,0.0019835,0.0019835
7,93.6816,1.72989,1.68785,1.61878,0.27391,0.31464,0.21222,0.07664,2.28568,2.54803,2.1015,0.0019802,0.0019802,0.0019802
8,106.416,1.70269,1.59652,1.56344,0.545,0.51919,0.54174,0.24253,1.81975,1.86321,1.66381,0.0019769,0.0019769,0.0019769
9,119.29,1.69571,1.59481,1.60344,0.47427,0.51023,0.44803,0.20251,1.81236,1.8627,1.72086,0.0019736,0.0019736,0.0019736
10,132.051,1.66338,1.53387,1.57138,0.59028,0.51331,0.55672,0.24765,1.88846,1.80991,1.75181,0.0019703,0.0019703,0.0019703
11,144.891,1.63538,1.49042,1.55371,0.62567,0.59262,0.63275,0.29678,1.78248,1.93324,1.69785,0.001967,0.001967,0.001967
12,157.72,1.61944,1.41037,1.53724,0.63641,0.65055,0.6779,0.34142,1.70362,1.4897,1.61355,0.0019637,0.0019637,0.0019637
13,170.788,1.62622,1.39873,1.53581,0.65826,0.577,0.61966,0.29697,1.82353,1.5649,1.73441,0.0019604,0.0019604,0.0019604
14,183.628,1.58786,1.36265,1.52099,0.70879,0.62238,0.69925,0.35158,1.69305,1.39144,1.62461,0.0019571,0.0019571,0.0019571
15,196.59,1.6096,1.3404,1.54561,0.77076,0.70315,0.79577,0.42796,1.56043,1.31503,1.49624,0.0019538,0.0019538,0.0019538
16,209.536,1.57402,1.31664,1.51054,0.69812,0.64544,0.68271,0.2967,1.88552,1.45183,1.72509,0.0019505,0.0019505,0.0019505
17,222.368,1.56131,1.29683,1.48703,0.71157,0.71863,0.76119,0.38683,1.66573,1.21412,1.54861,0.0019472,0.0019472,0.0019472
18,235.715,1.55725,1.27145,1.49672,0.77073,0.7576,0.79572,0.43165,1.54809,1.13783,1.495,0.0019439,0.0019439,0.0019439
19,248.507,1.54189,1.25086,1.49345,0.83809,0.7481,0.84686,0.46643,1.53449,1.06259,1.44051,0.0019406,0.0019406,0.0019406
20,261.571,1.54943,1.23894,1.47452,0.77894,0.75362,0.83,0.47061,1.50963,1.03704,1.42338,0.0019373,0.0019373,0.0019373
21,275.819,1.54019,1.23038,1.48105,0.74309,0.64163,0.73395,0.37187,1.68966,1.27282,1.56134,0.001934,0.001934,0.001934
22,289.478,1.49975,1.16682,1.44178,0.71122,0.59601,0.68983,0.37088,1.65466,1.38381,1.55181,0.0019307,0.0019307,0.0019307
23,303.673,1.53527,1.20374,1.47584,0.76132,0.79468,0.81963,0.44539,1.48535,1.1098,1.42677,0.0019274,0.0019274,0.0019274
24,318.722,1.48863,1.15292,1.44397,0.78516,0.69487,0.7884,0.44125,1.50824,1.13516,1.46839,0.0019241,0.0019241,0.0019241
25,334.447,1.47938,1.1163,1.43776,0.78492,0.80894,0.86788,0.47509,1.49097,0.99553,1.40309,0.0019208,0.0019208,0.0019208
26,350.884,1.49832,1.17413,1.45748,0.77308,0.69867,0.77782,0.41981,1.53875,1.22122,1.46346,0.0019175,0.0019175,0.0019175
27,364.55,1.49525,1.14883,1.44294,0.75519,0.75475,0.79838,0.4305,1.60715,1.19109,1.50846,0.0019142,0.0019142,0.0019142
28,377.855,1.4823,1.13024,1.43221,0.73543,0.68061,0.77022,0.43018,1.52009,1.16265,1.45129,0.0019109,0.0019109,0.0019109
29,391.22,1.44587,1.06876,1.3943,0.8227,0.84125,0.90293,0.53339,1.40046,0.83448,1.3518,0.0019076,0.0019076,0.0019076
30,404.444,1.44855,1.06927,1.40578,0.84844,0.78754,0.87508,0.51004,1.44806,0.96935,1.38185,0.0019043,0.0019043,0.0019043
31,417.668,1.45974,1.06563,1.4257,0.7946,0.78042,0.85968,0.49609,1.43857,0.93654,1.37676,0.001901,0.001901,0.001901
32,431.109,1.42487,1.04169,1.40313,0.82132,0.80798,0.88776,0.52698,1.38223,0.88765,1.35678,0.0018977,0.0018977,0.0018977
33,444.417,1.44326,1.04933,1.40746,0.83758,0.7794,0.8786,0.51964,1.41094,0.91998,1.35131,0.0018944,0.0018944,0.0018944
34,457.515,1.43232,1.02502,1.388,0.74568,0.62711,0.72844,0.39857,1.58592,1.25088,1.51631,0.0018911,0.0018911,0.0018911
35,470.678,1.42233,1.02766,1.38469,0.86351,0.81939,0.90887,0.56259,1.35925,0.8189,1.31547,0.0018878,0.0018878,0.0018878
36,483.642,1.3869,0.97107,1.35002,0.8364,0.85049,0.91497,0.56459,1.32795,0.81879,1.29715,0.0018845,0.0018845,0.0018845
37,496.51,1.38489,0.98444,1.37272,0.84272,0.82129,0.89591,0.54208,1.38941,0.84508,1.35641,0.0018812,0.0018812,0.0018812
38,509.356,1.38416,0.96829,1.36515,0.87661,0.81715,0.9101,0.54966,1.35033,0.79224,1.33552,0.0018779,0.0018779,0.0018779
39,522.269,1.38628,0.96106,1.36263,0.86652,0.82687,0.92183,0.56817,1.33857,0.78779,1.30212,0.0018746,0.0018746,0.0018746
40,535.567,1.35507,0.9346,1.34215,0.88053,0.85361,0.92091,0.57976,1.29312,0.75098,1.28177,0.0018713,0.0018713,0.0018713
41,548.532,1.37796,0.95419,1.36369,0.85773,0.85388,0.9213,0.55362,1.3922,0.8084,1.33345,0.001868,0.001868,0.001868
42,561.4,1.36046,0.97556,1.34822,0.82248,0.81749,0.87794,0.52232,1.38782,0.85091,1.3445,0.0018647,0.0018647,0.0018647
43,574.477,1.3302,0.92861,1.32711,0.86094,0.85335,0.91786,0.57244,1.31196,0.78005,1.28255,0.0018614,0.0018614,0.0018614
44,587.514,1.32482,0.92099,1.32532,0.84528,0.77947,0.8747,0.49337,1.49118,0.87211,1.40097,0.0018581,0.0018581,0.0018581
45,600.829,1.32992,0.91499,1.3296,0.88473,0.87262,0.93984,0.59674,1.26006,0.71349,1.26941,0.0018548,0.0018548,0.0018548
46,613.872,1.34707,0.91613,1.33766,0.86244,0.88878,0.94618,0.61423,1.22093,0.70638,1.23725,0.0018515,0.0018515,0.0018515
47,626.998,1.33025,0.91763,1.32602,0.91744,0.86217,0.94813,0.61608,1.23471,0.68014,1.23095,0.0018482,0.0018482,0.0018482
48,640.777,1.32605,0.90053,1.32518,0.9038,0.88417,0.94572,0.59199,1.33951,0.70258,1.30298,0.0018449,0.0018449,0.0018449
49,656.217,1.29768,0.88237,1.29927,0.86939,0.87928,0.94319,0.59425,1.28974,0.7029,1.26815,0.0018416,0.0018416,0.0018416
50,671.824,1.30071,0.87987,1.31701,0.87648,0.81179,0.91238,0.55291,1.36371,0.809,1.31986,0.0018383,0.0018383,0.0018383
51,687.451,1.27634,0.85614,1.28014,0.90829,0.91315,0.96559,0.64415,1.17001,0.6465,1.2012,0.001835,0.001835,0.001835
52,703.179,1.28436,0.8832,1.30773,0.92154,0.882,0.95194,0.62265,1.21588,0.67795,1.22795,0.0018317,0.0018317,0.0018317
53,718.644,1.30055,0.84053,1.30988,0.90524,0.82635,0.92605,0.60645,1.24912,0.74365,1.25783,0.0018284,0.0018284,0.0018284
54,732.597,1.28147,0.84871,1.30636,0.90884,0.91065,0.95909,0.63023,1.20087,0.62716,1.21975,0.0018251,0.0018251,0.0018251
55,746.507,1.27192,0.82859,1.29842,0.91882,0.86066,0.94723,0.61687,1.2596,0.67308,1.25677,0.0018218,0.0018218,0.0018218
56,759.761,1.27953,0.85046,1.29098,0.89891,0.89595,0.95964,0.63671,1.18068,0.63546,1.20165,0.0018185,0.0018185,0.0018185
57,772.758,1.25165,0.81698,1.27305,0.90642,0.94202,0.97561,0.65683,1.14687,0.58758,1.18458,0.0018152,0.0018152,0.0018152
58,785.697,1.25426,0.82364,1.28295,0.89026,0.90994,0.95866,0.63388,1.19699,0.66472,1.2103,0.0018119,0.0018119,0.0018119
59,798.856,1.2421,0.82306,1.26351,0.92496,0.91397,0.97035,0.66252,1.13904,0.61483,1.18079,0.0018086,0.0018086,0.0018086
60,811.768,1.23483,0.79406,1.26464,0.93064,0.9173,0.96867,0.65731,1.13879,0.60247,1.17746,0.0018053,0.0018053,0.0018053
61,824.692,1.2377,0.79767,1.26253,0.88411,0.86502,0.94244,0.61382,1.16995,0.66935,1.2036,0.001802,0.001802,0.001802
